"date","newCases","city"
2021-03-29,1274,"Stockholm"
2021-03-30,1327,"Stockholm"
2021-03-31,1343,"Stockholm"
2021-04-01,1392,"Stockholm"
2021-04-02,1195,"Stockholm"
2021-04-03,1195,"Stockholm"
2021-04-04,1195,"Stockholm"
2021-04-05,791,"Stockholm"
2021-04-06,1424,"Stockholm"
2021-04-07,1363,"Stockholm"
2021-04-08,1262,"Stockholm"
2021-04-09,1458,"Stockholm"
2021-04-10,1458,"Stockholm"
2021-04-11,1458,"Stockholm"
2021-04-12,1942,"Stockholm"
2021-04-13,1297,"Stockholm"
2021-04-14,1369,"Stockholm"
2021-04-15,1383,"Stockholm"
2021-04-16,1436,"Stockholm"
2021-04-17,1436,"Stockholm"
2021-04-18,1436,"Stockholm"
2021-04-19,1361,"Stockholm"
2021-04-20,1328,"Stockholm"
2021-04-21,1213,"Stockholm"
2021-04-22,1212,"Stockholm"
2021-04-23,1173,"Stockholm"
2021-04-24,1173,"Stockholm"
2021-04-25,1173,"Stockholm"
2021-04-26,1144,"Stockholm"
2021-04-27,1195,"Stockholm"
2021-04-28,1162,"Stockholm"
2021-04-29,1191,"Stockholm"
2021-04-30,1173,"Stockholm"
2021-05-01,1173,"Stockholm"
2021-05-02,1173,"Stockholm"
2021-05-03,1192,"Stockholm"
2021-05-04,1198,"Stockholm"
2021-05-05,1185,"Stockholm"
2021-05-06,1134,"Stockholm"
2021-05-07,1115,"Stockholm"
2021-05-08,1115,"Stockholm"
2021-05-09,1115,"Stockholm"
2021-05-10,1089,"Stockholm"
2021-05-11,1060,"Stockholm"
2021-05-12,1036,"Stockholm"
2021-05-13,836,"Stockholm"
2021-05-14,946,"Stockholm"
2021-05-15,946,"Stockholm"
2021-05-16,946,"Stockholm"
2021-05-17,801,"Stockholm"
2021-05-18,777,"Stockholm"
2021-05-19,710,"Stockholm"
2021-05-20,804,"Stockholm"
2021-05-21,592,"Stockholm"
2021-05-22,592,"Stockholm"
2021-05-23,592,"Stockholm"
2021-05-24,484,"Stockholm"
2021-05-25,436,"Stockholm"
2021-05-26,398,"Stockholm"
2021-05-27,325,"Stockholm"
2021-05-28,256,"Stockholm"
2021-05-29,256,"Stockholm"
2021-05-30,256,"Stockholm"
2021-05-31,212,"Stockholm"
